DATE,CPIH ALL ITEMS,FOOD AND NON-ALCOHOLIC BEVERAGES,ALCOHOLIC BEVERAGES AND TOBACCO,CLOTHING AND FOOTWEAR,"FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE",HEALTH,TRANSPORT,"ELECTRICITY, GAS AND OTHER FUELS",COMMUNICATION,RECREATION & CULTURE,EDUCATION,RESTAURANTS AND HOTELS,MISCELLANEOUS GOODS AND SERVICES
1988-01-01,46.851,47.901,27.262,191.973,68.285,37.606,40.338,29.131,96.974,73.343,12.344,32.871,45.903
1988-02-01,46.998,48.174,27.365,193.181,68.649,37.662,40.317,29.077,96.963,73.553,12.348,33.025,46.086
1988-03-01,47.202,48.324,27.433,194.76,69.179,38.192,40.559,29.029,96.968,73.58,12.349,33.115,46.108
1988-04-01,47.801,48.592,27.824,195.128,69.502,38.385,41.075,29.387,96.966,74.924,12.36,33.526,46.369
1988-05-01,48.044,48.714,27.931,197.851,69.834,38.513,41.217,29.819,96.958,75.22,12.365,33.67,46.538
1988-06-01,48.21,48.793,27.942,198.489,69.987,38.608,41.582,30.338,96.948,75.162,12.377,33.785,46.703
1988-07-01,48.233,48.355,27.941,195.092,69.9,38.683,41.829,30.67,96.938,75.262,12.375,33.887,47.195
1988-08-01,48.491,48.583,27.968,195.298,70.211,38.919,41.995,30.617,96.921,75.439,12.392,34.116,47.408
1988-09-01,48.716,48.765,28.016,198.023,70.752,39.014,42.107,30.708,97.645,75.386,13.117,34.359,47.56
1988-10-01,49.045,48.838,28.115,201.946,70.942,39.269,42.203,30.744,97.621,75.67,13.126,34.555,47.719
1988-11-01,49.307,49.205,28.146,203.159,71.256,39.468,42.184,30.783,97.625,75.814,13.168,34.715,48.13
1988-12-01,49.337,49.545,28.062,203.868,71.303,39.488,42.075,30.843,97.627,75.863,13.17,34.794,48.237
1989-01-01,49.53,49.967,28.35,199.563,70.921,40.441,42.394,30.865,97.581,75.969,13.212,34.981,48.9
1989-02-01,49.738,50.106,28.497,201.479,71.289,40.698,42.559,30.854,97.544,76.213,13.221,35.081,49.264
1989-03-01,50.003,50.371,28.55,202.247,71.665,40.742,42.869,30.908,97.568,76.311,13.22,35.228,49.354
1989-04-01,50.497,50.964,28.666,205.844,72.042,41.33,43.695,31.23,97.629,76.819,13.227,35.419,49.895
1989-05-01,50.866,51.279,28.717,207.132,72.348,41.64,44.125,31.501,97.594,77.471,13.262,35.572,50.037
1989-06-01,51.007,51.443,28.757,207.524,72.466,41.864,44.32,31.832,97.546,77.602,13.294,35.709,50.03
1989-07-01,50.996,51.133,28.776,203.484,72.371,41.969,44.291,32.079,97.486,77.899,13.318,35.919,50.233
1989-08-01,51.139,51.328,28.796,203.512,72.662,42.263,44.004,32.182,97.523,77.979,13.348,36.244,50.308
1989-09-01,51.51,51.704,28.941,207.691,72.988,42.278,44.17,32.281,99.412,78.191,13.918,36.476,50.435
1989-10-01,51.9,52.259,29.195,210.218,73.418,42.517,44.294,32.409,100.877,78.653,13.933,36.777,50.691
1989-11-01,52.093,52.777,29.168,211.519,73.7,42.637,44.143,32.552,101.63,79.32,14.02,36.905,51.016
1989-12-01,52.183,53.233,29.059,211.362,73.846,42.639,43.774,32.654,101.79,79.409,14.067,37.071,51.194
1990-01-01,52.448,53.958,29.255,206.824,73.673,43.68,44.082,32.825,101.857,79.718,14.229,37.322,51.48
1990-02-01,52.864,54.446,29.428,209.13,74.151,43.74,44.438,32.66,102.088,79.972,14.311,37.475,51.794
1990-03-01,53.085,54.74,29.537,210.528,74.893,44.232,44.678,32.748,102.011,80.209,14.314,37.641,52.053
1990-04-01,54.404,55.242,30.516,213.778,75.244,44.595,45.708,33.214,101.971,81.131,14.336,38.521,52.179
1990-05-01,55.026,55.912,31.176,214.802,75.786,44.778,45.979,33.981,102.233,81.588,14.356,38.994,52.484
1990-06-01,55.193,55.876,31.285,214.547,75.997,45.018,46.27,34.475,102.312,81.7,14.495,39.215,52.705
1990-07-01,55.183,55.242,31.497,208.671,75.091,45.421,46.448,34.693,102.311,81.687,14.5,39.612,52.89
1990-08-01,55.7,55.831,31.437,210.872,75.961,45.691,47.541,35.209,102.313,81.973,14.588,39.945,53.25
1990-09-01,56.228,55.985,31.497,215.645,76.578,46.406,48.577,35.431,106.315,82.382,15.467,40.276,53.535
1990-10-01,56.7,56.022,31.741,218.166,77.076,46.726,48.921,36.036,108.513,83.194,15.473,40.552,53.883
1990-11-01,56.872,56.404,31.736,219.965,77.585,46.921,48.169,35.811,109.386,83.639,15.561,40.735,54.083
1990-12-01,56.959,56.771,31.725,219.922,77.972,46.995,47.286,35.765,109.57,83.777,15.6,40.966,54.077
1991-01-01,56.964,57.159,32.049,210.958,76.576,47.35,47.236,36.052,109.669,83.803,15.715,41.193,54.484
1991-02-01,57.211,57.856,32.311,211.622,77.473,47.478,47.302,36.067,109.793,84.148,15.722,41.377,54.769
1991-03-01,57.494,57.876,32.441,213.971,78.246,47.838,47.65,35.717,109.776,84.08,15.732,41.509,54.938
1991-04-01,58.729,58.572,35.434,218.398,79.506,49.288,49.256,36.065,112.179,86.743,15.901,43.485,56.19
1991-05-01,59.158,58.485,35.76,219.375,80.514,49.702,49.95,36.702,112.485,87.214,16.02,43.758,56.461
1991-06-01,59.461,59.052,35.853,219.83,80.788,50.039,50.267,37.384,112.682,87.173,16.149,44.013,56.554
1991-07-01,59.343,58.317,35.805,210.613,79.865,50.347,50.67,37.833,112.976,87.443,16.134,44.394,56.784
1991-08-01,59.9,58.884,35.797,213.963,81.189,50.9,50.862,37.977,113.03,87.86,16.196,44.659,57.088
1991-09-01,60.091,58.43,35.823,219.218,81.521,51.062,50.99,38.092,114.587,87.847,17.948,44.855,56.983
1991-10-01,60.369,58.478,35.845,221.925,81.754,51.486,51.289,38.091,115.871,88.022,18.038,45.027,57.571
1991-11-01,60.547,59.024,36.064,222.626,82.004,51.578,51.386,38.187,116.532,88.27,18.066,45.163,57.685
1991-12-01,60.663,59.201,36.077,223.153,82.4,51.694,51.213,38.102,116.555,88.499,18.089,45.275,57.422
1992-01-01,60.522,59.73,36.46,211.162,80.596,51.605,51.028,37.984,116.351,88.414,18.228,45.366,58.097
1992-02-01,60.833,60.096,36.617,212.409,81.299,51.767,51.424,38.03,116.348,88.552,18.261,45.51,58.258
1992-03-01,61.064,60.257,36.729,215.032,82.037,52.27,51.934,37.964,116.214,88.945,18.26,45.65,58.459
1992-04-01,61.808,60.002,38.167,216.616,82.084,52.871,52.492,38.023,116.223,89.947,18.295,46.103,59.029
1992-05-01,62.164,60.243,38.333,216.529,82.202,53.138,52.817,38.167,116.159,90.05,18.369,46.341,59.256
1992-06-01,62.215,60.028,38.359,217.318,81.919,53.321,53.046,38.253,116.184,90.06,18.391,46.522,59.295
1992-07-01,62.022,59.249,38.395,207.892,80.961,53.724,53.006,38.285,116.019,89.835,18.447,46.762,59.474
1992-08-01,62.113,59.387,38.397,207.401,81.516,53.928,52.908,38.081,116.0,89.94,18.477,46.917,59.321
1992-09-01,62.293,59.175,38.412,215.258,82.381,54.025,52.656,37.918,116.014,90.108,19.788,47.136,59.473
1992-10-01,62.464,59.36,38.498,218.422,82.579,54.117,52.732,38.026,116.002,90.094,19.863,47.352,59.64
1992-11-01,62.542,59.258,38.57,217.642,82.765,54.413,52.723,38.062,115.966,90.27,19.894,47.47,59.963
